CID,race,gender,birthord,magebirth,medu,bthwht,breastfed,math,read,hhnum
193802,3,0,2,27,15,0,1,103,112,5
194001,3,0,1,29,8,1,1,65,69,3
195301,3,1,1,29,19,0,1,101,135,3
195401,3,0,1,23,16,0,1,102,115,5
195402,3,0,2,26,16,0,1,102,119,5
196001,3,0,1,23,12,0,0,102,112,4
196202,3,0,2,25,12,0,0,98,116,4
197201,2,1,1,27,14,0,0,81,104,3
197401,3,0,1,23,17,0,0,126,120,4
197402,3,1,2,26,17,0,0,116,128,4
199302,3,1,2,26,12,0,0,115,100,5
199303,3,0,3,33,12,0,0,96,99,5
199703,3,0,3,29,12,0,1,107,108,4
199704,3,0,4,31,12,0,1,101,113,4
200204,3,1,4,22,12,0,0,111,98,8
200205,3,0,5,25,12,0,0,125,100,8
200802,3,1,2,24,14,0,1,114,135,4
200803,3,0,3,27,14,0,1,118,131,4
201202,3,1,3,25,12,0,0,100,109,5
201203,3,1,2,25,12,1,0,97,104,5
201302,3,1,2,27,12,0,1,112,112,4
201601,3,1,1,28,16,0,0,97,98,4
202103,3,1,3,28,12,0,1,107,123,5
203501,3,1,1,27,12,0,0,97,102,3
204201,3,1,1,31,18,0,1,120,135,3
204601,3,0,1,27,12,0,1,98,101,4
205403,3,0,3,30,7,0,0,91,103,5
205404,3,1,4,31,7,0,1,86,94,5
205701,3,1,1,21,15,0,1,90,97,3
205702,3,1,2,23,15,0,1,94,86,3
205801,2,0,1,25,12,0,1,102,113,4
206201,3,0,1,21,16,0,0,102,104,4
206202,3,1,2,25,16,0,0,90,104,4
206603,3,0,3,25,12,0,1,87,98,5
206604,3,0,4,27,12,0,1,87,93,5
207001,3,0,1,25,12,0,1,97,115,5
